year,gross,popularity,imdb_score,vote_average,genre
2010,68219979,34.3,6.2,6.1,Боевик
2011,72434092,36.5,6.2,6.0,Боевик
2012,104556976,44.2,6.6,6.1,Боевик
2013,88362160,40.4,6.4,6.0,Боевик
2014,100905095,71.8,6.3,6.0,Боевик
2015,95626184,93.1,6.5,6.1,Боевик
2016,100277082,64.7,6.5,5.9,Боевик
2010,149091879,42.7,6.7,6.1,Приключение
2011,114685797,38.0,6.5,6.2,Приключение
2012,162799816,54.5,6.9,6.2,Приключение
2013,142877002,46.2,6.7,6.2,Приключение
2014,139446663,87.5,6.8,6.2,Приключение
2015,125121967,75.5,6.8,6.2,Приключение
2016,149681233,75.8,6.8,5.9,Приключение
2010,224329714,41.5,7.3,6.2,Мультфильм
2011,140203275,22.7,6.4,6.0,Мультфильм
2012,173294557,44.1,7.3,6.5,Мультфильм
2013,159739623,40.7,6.6,6.2,Мультфильм
2014,156939767,49.9,7.1,6.8,Мультфильм
2015,155625905,107.5,6.7,6.5,Мультфильм
2016,205756255,33.6,7.2,6.0,Мультфильм
2010,59922630,20.5,6.2,6.0,Комедия
2011,70357854,22.0,6.3,6.0,Комедия
2012,65005722,25.8,6.3,6.0,Комедия
2013,67108561,29.9,6.4,6.2,Комедия
2014,77858283,39.7,6.3,6.2,Комедия
2015,82861473,56.9,6.5,6.2,Комедия
2016,92779962,52.5,6.1,5.7,Комедия
2010,25227340,8.9,6.8,6.1,Докуиенталка
2011,15866105,5.8,6.3,5.7,Докуиенталка
2012,10294813,3.7,7.0,6.5,Докуиенталка
2013,16584573,6.2,6.4,7.4,Докуиенталка
2014,5858,0.5,7.1,6.8,Докуиенталка
2015,42134,1.0,7.0,2.9,Докуиенталка
2010,28553628,18.1,6.6,6.3,Драма
2011,26238805,17.9,6.7,6.3,Драма
2012,42719679,24.2,6.7,6.2,Драма
2013,36147046,28.2,6.8,6.4,Драма
2014,46157715,43.7,6.7,6.1,Драма
2015,46208847,36.5,6.8,6.3,Драма
2016,62250840,29.4,6.9,6.2,Драма
2010,23633031,18.5,5.7,5.8,Ужастик
2011,26144408,18.8,5.5,5.5,Ужастик
2012,33036097,24.6,5.8,5.7,Ужастик
2013,53037166,35.4,6.1,5.8,Ужастик
2014,37223157,33.7,5.8,5.3,Ужастик
2015,30245493,29.8,5.7,5.3,Ужастик
2016,48250117,39.2,6.7,6.3,Ужастик
